using saved target 'z1'
../../../../contiki/tools/sky/serialdump-linux -b115200 /dev/ttyUSB0
connecting to /dev/ttyUSB0 (115200) [OK]
OçâûOÿMy address is 1.0.
nullmac PRIMAC, channel check rate 8 Hz, radio channel 26
Starting
Hello, world
105573 R 4.0 29 2 19736 66
 P 219688 17568 22619 27002034
106041 R 3.0 46 1 8624 67
 P 220567 17840 22629 27123531
106513 R 4.0 30 2 19778 68
 P 221977 18112 22638 27242634
106980 R 3.0 47 1 8668 69
 P 222789 18383 22647 27362934
107457 R 3.0 48 1 8249 70
 P 225424 18654 22657 27483234
107923 R 4.0 31 2 20293 71
 P 226835 18926 22666 27603534
108390 R 3.0 49 1 8286 72
 P 227713 19198 22676 27725191
108862 R 4.0 32 2 20337 73
 P 229123 19470 22684 27844134
109330 R 3.0 50 1 8330 74
 P 229934 19741 22693 27964434
109802 R 2.0 19 1 9789 75
 P 231345 20013 22702 28084734
110270 R 3.0 51 1 8374 76
 P 232155 20285 22710 28205034
110742 R 4.0 33 2 21320 77
 P 233634 20556 22721 28327747
111210 R 3.0 52 1 8418 78
 P 234444 20827 22730 28445634
111682 R 2.0 20 1 9877 79
 P 235856 21099 22738 28565934
112150 R 3.0 53 1 8461 80
 P 236666 21372 22746 28686234
112622 R 2.0 21 1 9920 81
 P 238078 21644 22755 28806534
113089 R 3.0 54 1 8505 82
 P 238954 21915 22766 28927615
 P 241347 21915 22996 29047134
 P 242456 21915 23906 29167434
114502 R 2.0 22 1 19076 83
 P 243870 22188 23914 29287734
114969 R 3.0 55 1 18038 84
 P 244678 22459 23923 29408034
115441 R 4.0 35 2 23332 85
 P 246158 22731 23934 29529403
115909 R 3.0 56 1 9533 86
 P 246965 23002 23943 29648634
116381 R 4.0 36 2 22479 87
 P 248379 23273 23952 29768934
116849 R 3.0 57 1 9577 88
 P 249186 23545 23960 29889234
117321 R 4.0 37 2 22524 89
 P 250600 23817 23968 30009534
117789 R 3.0 58 1 9621 90
 P 251473 24088 23979 30131575
118261 R 2.0 23 1 10183 91
 P 252887 24360 23987 30250134
118728 R 3.0 59 1 9664 92
 P 253693 24632 23995 30370434
119201 R 2.0 24 1 10227 93
 P 255107 24903 24005 30490734
